#   ix    iy    iz      toten(eV)
     0     0     0     -20041.104388121228
     1     0     0     -20041.102910679012
     2     0     0     -20041.101566436533
     3     0     0     -20041.100442470222
     4     0     0     -20041.099896881926
     5     0     0     -20041.099626400752
     6     0     0     -20041.098806929851
     7     0     0     -20041.097134654112
     8     0     0     -20041.095254347321
     9     0     0     -20041.093811463565
    10     0     0     -20041.092991312384
    11     0     0     -20041.093297304422
    12     0     0     -20041.095374621647
    13     0     0     -20041.098829379247
    14     0     0     -20041.102241823137
    15     0     0     -20041.104217777949
    16     0     0     -20041.104220907258
    17     0     0     -20041.102242775538
    18     0     0     -20041.098814685098
    19     0     0     -20041.095354213106
    20     0     0     -20041.093300977958
    21     0     0     -20041.093004101735
    22     0     0     -20041.093785884863
    23     0     0     -20041.095257476631
    24     0     0     -20041.097153974195
    25     0     0     -20041.098839583516
    26     0     0     -20041.099618917618
    27     0     0     -20041.099893480507
    28     0     0     -20041.100459749450
    29     0     0     -20041.101555007750
    30     0     0     -20041.102908774214
    31     0     0     -20041.104380774152
     0     1     0     -20041.100172397215
     1     1     0     -20041.107424775873
     2     1     0     -20041.122001099149
     3     1     0     -20041.134505547467
     4     1     0     -20041.137184644504
     5     1     0     -20041.127872772071
     6     1     0     -20041.111137769527
     7     1     0     -20041.096335183585
     8     1     0     -20041.092324361307
     9     1     0     -20041.101259356037
    10     1     0     -20041.117216248989
    11     1     0     -20041.130803982596
    12     1     0     -20041.135223247780
    13     1     0     -20041.129405045231
    14     1     0     -20041.118141300067
    15     1     0     -20041.109363587144
    16     1     0     -20041.109366988570
    17     1     0     -20041.118142932748
    18     1     0     -20041.129421099948
    19     1     0     -20041.135219438183
    20     1     0     -20041.130797315807
    21     1     0     -20041.117238970495
    22     1     0     -20041.101270920877
    23     1     0     -20041.092331844437
    24     1     0     -20041.096351646473
    25     1     0     -20041.111142939691
    26     1     0     -20041.127888282561
    27     1     0     -20041.137190358892
    28     1     0     -20041.134507452265
    29     1     0     -20041.121987765568
    30     1     0     -20041.107424095593
    31     1     0     -20041.100154573756
     0     2     0     -20041.082535201160
     1     2     0     -20041.096563895284
     2     2     0     -20041.123623850166
     3     2     0     -20041.146872306177
     4     2     0     -20041.152219479631
     5     2     0     -20041.135969383991
     6     2     0     -20041.106751974348
     7     2     0     -20041.081502256940
     8     2     0     -20041.075612352386
     9     2     0     -20041.092590352608
    10     2     0     -20041.121630752183
    11     2     0     -20041.145839225897
    12     2     0     -20041.152655814210
    13     2     0     -20041.140406064460
    14     2     0     -20041.118446203647
    15     2     0     -20041.101735147124
    16     2     0     -20041.101731745704
    17     2     0     -20041.118439672915
    18     2     0     -20041.140431779222
    19     2     0     -20041.152685338562
    20     2     0     -20041.145868478136
    21     2     0     -20041.121653473685
    22     2     0     -20041.092575794515
    23     2     0     -20041.075607046165
    24     2     0     -20041.081507835272
    25     2     0     -20041.106747212358
    26     2     0     -20041.135951016306
    27     2     0     -20041.152224241621
    28     2     0     -20041.146880605647
    29     2     0     -20041.123637047687
    30     2     0     -20041.096555323697
    31     2     0     -20041.082518602216
     0     3     0     -20041.056530231723
     1     3     0     -20041.074189741114
     2     3     0     -20041.108201116724
     3     3     0     -20041.137482473125
     4     3     0     -20041.144393348888
     5     3     0     -20041.124322774620
     6     3     0     -20041.088181563806
     7     3     0     -20041.057074595505
     8     3     0     -20041.050094602822
     9     3     0     -20041.071519487781
    10     3     0     -20041.108071182356
    11     3     0     -20041.138575962679
    12     3     0     -20041.147333947341
    13     3     0     -20041.132266186436
    14     3     0     -20041.105058065557
    15     3     0     -20041.084404623398
    16     3     0     -20041.084407752707
    17     3     0     -20041.105060242469
    18     3     0     -20041.132252036514
    19     3     0     -20041.147332858887
    20     3     0     -20041.138582901582
    21     3     0     -20041.108076216460
    22     3     0     -20041.071515542131
    23     3     0     -20041.050109296968
    24     3     0     -20041.057090105998
    25     3     0     -20041.088191768078
    26     3     0     -20041.124325631816
    27     3     0     -20041.144384641244
    28     3     0     -20041.137479071698
    29     3     0     -20041.108211457053
    30     3     0     -20041.074208653026
    31     3     0     -20041.056522748593
     0     4     0     -20041.038716161664
     1     4     0     -20041.056226416600
     2     4     0     -20041.089971120626
     3     4     0     -20041.119101725941
     4     4     0     -20041.125991104709
     5     4     0     -20041.106063934451
     6     4     0     -20041.070192524530
     7     4     0     -20041.039441072993
     8     4     0     -20041.032690472293
     9     4     0     -20041.054221753773
    10     4     0     -20041.091093726365
    11     4     0     -20041.122115250913
    12     4     0     -20041.131593929142
    13     4     0     -20041.117344686732
    14     4     0     -20041.090945832479
    15     4     0     -20041.070899340288
    16     4     0     -20041.070902061427
    17     4     0     -20041.090962023252
    18     4     0     -20041.117350537181
    19     4     0     -20041.131618147272
    20     4     0     -20041.122116883595
    21     4     0     -20041.091082025468
    22     4     0     -20041.054241754140
    23     4     0     -20041.032677274769
    24     4     0     -20041.039433453803
    25     4     0     -20041.070184769284
    26     4     0     -20041.106060805141
    27     4     0     -20041.125982397069
    28     4     0     -20041.119094787038
    29     4     0     -20041.089998876239
    30     4     0     -20041.056237573266
    31     4     0     -20041.038709766988
     0     5     0     -20041.044779946973
     1     5     0     -20041.058381286275
     2     5     0     -20041.084410473846
     3     5     0     -20041.106752926749
     4     5     0     -20041.111764447756
     5     5     0     -20041.095950006409
     6     5     0     -20041.067864318324
     7     5     0     -20041.044020749294
     8     5     0     -20041.039192905148
     9     5     0     -20041.056804794614
    10     5     0     -20041.086666161707
    11     5     0     -20041.112090031991
    12     5     0     -20041.120467873588
    13     5     0     -20041.109918019138
    14     5     0     -20041.089621046140
    15     5     0     -20041.074116950655
    16     5     0     -20041.074117630942
    17     5     0     -20041.089626216304
    18     5     0     -20041.109919379709
    19     5     0     -20041.120469234160
    20     5     0     -20041.112102004998
    21     5     0     -20041.086667794392
    22     5     0     -20041.056807923920
    23     5     0     -20041.039202157019
    24     5     0     -20041.044035307386
    25     5     0     -20041.067870304829
    26     5     0     -20041.095935040150
    27     5     0     -20041.111758869418
    28     5     0     -20041.106740001338
    29     5     0     -20041.084398092666
    30     5     0     -20041.058375299770
    31     5     0     -20041.044793552664
     0     6     0     -20041.076130457182
     1     6     0     -20041.083188274431
     2     6     0     -20041.095956945315
     3     6     0     -20041.106378906246
     4     6     0     -20041.107864375819
     5     6     0     -20041.098952782882
     6     6     0     -20041.084257954022
     7     6     0     -20041.072415694787
     8     6     0     -20041.071306014455
     9     6     0     -20041.082701190619
    10     6     0     -20041.100790095683
    11     6     0     -20041.116112827276
    12     6     0     -20041.121542043060
    13     6     0     -20041.116048744461
    14     6     0     -20041.104864184432
    15     6     0     -20041.096231780313
    16     6     0     -20041.096235998077
    17     6     0     -20041.104876973783
    18     6     0     -20041.116057996333
    19     6     0     -20041.121562723714
    20     6     0     -20041.116138950209
    21     6     0     -20041.100804381658
    22     6     0     -20041.082716701108
    23     6     0     -20041.071318395640
    24     6     0     -20041.072404674174
    25     6     0     -20041.084237137315
    26     6     0     -20041.098991831219
    27     6     0     -20041.107867505132
    28     6     0     -20041.106394688850
    29     6     0     -20041.095975312997
    30     6     0     -20041.083209363256
    31     6     0     -20041.076125695188
     0     7     0     -20041.117465913459
     1     7     0     -20041.117344006445
     2     7     0     -20041.114889267294
     3     7     0     -20041.111197362465
     4     7     0     -20041.108188327376
     5     7     0     -20041.107054701024
     6     7     0     -20041.107884104076
     7     7     0     -20041.110409184665
     8     7     0     -20041.114693481370
     9     7     0     -20041.120402838376
    10     7     0     -20041.126128930384
    11     7     0     -20041.130206148442
    12     7     0     -20041.131717332777
    13     7     0     -20041.130914460824
    14     7     0     -20041.128962315976
    15     7     0     -20041.127410314562
    16     7     0     -20041.127408545821
    17     7     0     -20041.128959594836
    18     7     0     -20041.130917181963
    19     7     0     -20041.131712570783
    20     7     0     -20041.130198937426
    21     7     0     -20041.126127161642
    22     7     0     -20041.120393858619
