#   ix    iy    iz      toten(eV)
     0     0     0     -20040.051464211094
     1     0     0     -20040.053375947035
     2     0     0     -20040.055188225357
     3     0     0     -20040.056807574954
     4     0     0     -20040.058339439944
     5     0     0     -20040.059853209361
     6     0     0     -20040.061202485944
     7     0     0     -20040.062519653096
     8     0     0     -20040.064368122567
     9     0     0     -20040.066873066724
    10     0     0     -20040.069157870774
    11     0     0     -20040.070067683471
    12     0     0     -20040.068802626123
    13     0     0     -20040.065275622295
    14     0     0     -20040.060622611305
    15     0     0     -20040.057187173792
    16     0     0     -20040.057184724767
    17     0     0     -20040.060618393538
    18     0     0     -20040.065269771847
    19     0     0     -20040.068803034297
    20     0     0     -20040.070077887740
    21     0     0     -20040.069147530445
    22     0     0     -20040.066872250383
    23     0     0     -20040.064370571588
    24     0     0     -20040.062512169963
    25     0     0     -20040.061195274931
    26     0     0     -20040.059858651635
    27     0     0     -20040.058351821121
    28     0     0     -20040.056802268733
    29     0     0     -20040.055203735847
    30     0     0     -20040.053361252885
    31     0     0     -20040.051475095646
     0     1     0     -20040.045518931369
     1     1     0     -20040.054129838489
     2     1     0     -20040.069599783685
     3     1     0     -20040.083162754931
     4     1     0     -20040.087676851796
     5     1     0     -20040.081400681614
     6     1     0     -20040.068878954062
     7     1     0     -20040.058557811317
     8     1     0     -20040.057913581746
     9     1     0     -20040.068253636407
    10     1     0     -20040.083481808433
    11     1     0     -20040.093949892667
    12     1     0     -20040.092456259674
    13     1     0     -20040.078292597078
    14     1     0     -20040.058415087595
    15     1     0     -20040.044060401066
    16     1     0     -20040.044055639075
    17     1     0     -20040.058399577105
    18     1     0     -20040.078289059598
    19     1     0     -20040.092450001055
    20     1     0     -20040.093960369049
    21     1     0     -20040.083477998840
    22     1     0     -20040.068258670515
    23     1     0     -20040.057919024024
    24     1     0     -20040.058566110791
    25     1     0     -20040.068887661706
    26     1     0     -20040.081409253202
    27     1     0     -20040.087665831183
    28     1     0     -20040.083155407854
    29     1     0     -20040.069595429861
    30     1     0     -20040.054156233535
    31     1     0     -20040.045527366899
     0     2     0     -20040.026895730734
     1     2     0     -20040.040881022698
     2     2     0     -20040.067265318859
     3     2     0     -20040.090416630221
     4     2     0     -20040.097444242831
     5     2     0     -20040.085153131778
     6     2     0     -20040.061598275559
     7     2     0     -20040.041763079786
     8     2     0     -20040.038767514328
     9     2     0     -20040.055011079232
    10     2     0     -20040.080089909141
    11     2     0     -20040.097670913681
    12     2     0     -20040.095538901565
    13     2     0     -20040.072589226576
    14     2     0     -20040.040330264237
    15     2     0     -20040.017064801112
    16     2     0     -20040.017069563106
    17     2     0     -20040.040343053592
    18     2     0     -20040.072611539912
    19     2     0     -20040.095541622704
    20     2     0     -20040.097668328599
    21     2     0     -20040.080085963487
    22     2     0     -20040.055004412443
    23     2     0     -20040.038778398881
    24     2     0     -20040.041761311040
    25     2     0     -20040.061608751941
    26     2     0     -20040.085160206738
    27     2     0     -20040.097457848522
    28     2     0     -20040.090443025263
    29     2     0     -20040.067263686175
    30     2     0     -20040.040881430868
    31     2     0     -20040.026896955249
     0     3     0     -20040.000653341955
