#   ix    iy    iz      toten(eV)
     0     0     0     -20038.900130458656
     1     0     0     -20038.900517132457
     2     0     0     -20038.900903398084
     3     0     0     -20038.901113333926
     4     0     0     -20038.901409665923
     5     0     0     -20038.901808720904
     6     0     0     -20038.901986683370
     7     0     0     -20038.901972397394
     8     0     0     -20038.902309410412
     9     0     0     -20038.903205753475
    10     0     0     -20038.904148764061
    11     0     0     -20038.904716121466
    12     0     0     -20038.904815851198
    13     0     0     -20038.904329991896
    14     0     0     -20038.903231060060
    15     0     0     -20038.902204102345
    16     0     0     -20038.902210633078
    17     0     0     -20038.903223032703
    18     0     0     -20038.904326318356
    19     0     0     -20038.904817892053
    20     0     0     -20038.904717890207
    21     0     0     -20038.904148219837
    22     0     0     -20038.903187657903
    23     0     0     -20038.902306553216
    24     0     0     -20038.901969948365
    25     0     0     -20038.902005459226
    26     0     0     -20038.901808584847
    27     0     0     -20038.901409938037
    28     0     0     -20038.901118640148
    29     0     0     -20038.900908296131
    30     0     0     -20038.900521894448
    31     0     0     -20038.900139982641
     0     1     0     -20038.894925192581
     1     1     0     -20038.903134051470
     2     1     0     -20038.918258820231
     3     1     0     -20038.931067763962
     4     1     0     -20038.934215985293
     5     1     0     -20038.925997466366
     6     1     0     -20038.911239098921
     7     1     0     -20038.898967307952
     8     1     0     -20038.897162104589
     9     1     0     -20038.907273039375
    10     1     0     -20038.923090337914
    11     1     0     -20038.935042531153
    12     1     0     -20038.936151667254
    13     1     0     -20038.925695147864
    14     1     0     -20038.909661382746
    15     1     0     -20038.897841436847
    16     1     0     -20038.897839804162
    17     1     0     -20038.909655396241
    18     1     0     -20038.925699365627
    19     1     0     -20038.936151531198
    20     1     0     -20038.935033415339
    21     1     0     -20038.923080541816
    22     1     0     -20038.907274808116
    23     1     0     -20038.897155845967
    24     1     0     -20038.898951525349
    25     1     0     -20038.911234336931
    26     1     0     -20038.926002364413
    27     1     0     -20038.934204148343
    28     1     0     -20038.931063410142
    29     1     0     -20038.918248479902
    30     1     0     -20038.903137861063
    31     1     0     -20038.894915804656
     0     2     0     -20038.876743360634
     1     2     0     -20038.891079543420
