#   ix    iy    iz      toten(eV)
     0     0     0     -15341.741319476494
     1     0     0     -15341.742218268582
     2     0     0     -15341.738894261696
     3     0     0     -15341.733330621662
     4     0     0     -15341.728908499283
     5     0     0     -15341.728444953320
     6     0     0     -15341.732244887353
     7     0     0     -15341.737865263123
     8     0     0     -15341.741875541171
     9     0     0     -15341.741882071907
    10     0     0     -15341.737889073085
    11     0     0     -15341.732264751665
    12     0     0     -15341.728449171083
    13     0     0     -15341.728965915310
    14     0     0     -15341.733361234472
    15     0     0     -15341.738845689371
    16     0     0     -15341.742212690249
    17     0     0     -15341.741300156409
     0     1     0     -15341.745431253012
     1     1     0     -15341.746423924384
     2     1     0     -15341.742770523666
     3     1     0     -15341.736596260127
     4     1     0     -15341.731749504064
     5     1     0     -15341.731261739968
     6     1     0     -15341.735448483854
     7     1     0     -15341.741658802481
     8     1     0     -15341.746007045947
     9     1     0     -15341.746016433875
    10     1     0     -15341.741629958413
    11     1     0     -15341.735421000354
    12     1     0     -15341.731238746344
    13     1     0     -15341.731773722198
    14     1     0     -15341.736606056224
    15     1     0     -15341.742746033418
    16     1     0     -15341.746399978363
    17     1     0     -15341.745396150323
     0     2     0     -15341.746258207040
     1     2     0     -15341.747118767131
     2     2     0     -15341.743927823924
     3     2     0     -15341.738356564705
     4     2     0     -15341.734030498517
     5     2     0     -15341.733560557876
     6     2     0     -15341.737321579625
     7     2     0     -15341.742865083233
     8     2     0     -15341.746811958750
     9     2     0     -15341.746798489114
    10     2     0     -15341.742871205795
    11     2     0     -15341.737369743780
    12     2     0     -15341.733567360725
    13     2     0     -15341.734072812225
    14     2     0     -15341.738392211617
    15     2     0     -15341.743899115911
    16     2     0     -15341.747118767131
    17     2     0     -15341.746269227653
     0     3     0     -15341.742832021398
     1     3     0     -15341.743429175269
     2     3     0     -15341.741285598317
     3     3     0     -15341.737499269979
     4     3     0     -15341.734465064354
     5     3     0     -15341.734166555449
     6     3     0     -15341.736761977467
     7     3     0     -15341.740563952357
     8     3     0     -15341.743188218446
     9     3     0     -15341.743174340638
    10     3     0     -15341.740528305440
    11     3     0     -15341.736747419378
    12     3     0     -15341.734138527720
    13     3     0     -15341.734517446275
    14     3     0     -15341.737503759858
    15     3     0     -15341.741277843073
    16     3     0     -15341.743419515227
    17     3     0     -15341.742820456559
     0     4     0     -15341.736636396921
     1     4     0     -15341.736785243203
     2     4     0     -15341.736084277894
     3     4     0     -15341.735388210633
     4     4     0     -15341.733831991454
     5     4     0     -15341.733704778222
     6     4     0     -15341.734624931250
     7     4     0     -15341.736375711842
     8     4     0     -15341.736751365028
     9     4     0     -15341.736710003721
    10     4     0     -15341.735928084538
    11     4     0     -15341.734667244957
    12     4     0     -15341.733713894040
    13     4     0     -15341.733789541691
    14     4     0     -15341.734958951016
    15     4     0     -15341.736163054857
    16     4     0     -15341.736750140515
    17     4     0     -15341.736570817480
     0     5     0     -15341.730900236700
     1     5     0     -15341.730585264904
     2     5     0     -15341.731650726735
     3     5     0     -15341.733827229462
     4     5     0     -15341.734600441001
     5     5     0     -15341.734621257712
     6     5     0     -15341.733625729146
     7     5     0     -15341.732502579182
     8     5     0     -15341.730756696637
     9     5     0     -15341.730734655415
    10     5     0     -15341.731971412921
    11     5     0     -15341.734144650283
    12     5     0     -15341.734606835678
    13     5     0     -15341.734511731884
    14     5     0     -15341.733332390402
    15     5     0     -15341.731714673489
    16     5     0     -15341.730629619464
    17     5     0     -15341.730833160635
     0     6     0     -15341.728418422219
     1     6     0     -15341.727663034137
     2     6     0     -15341.730269612823
     3     6     0     -15341.734921807474
     4     6     0     -15341.737719546150
     5     6     0     -15341.738010435869
     6     6     0     -15341.735255963296
     7     6     0     -15341.731499159314
     8     6     0     -15341.728008754799
     9     6     0     -15341.727929569664
    10     6     0     -15341.731075750142
    11     6     0     -15341.735746312475
    12     6     0     -15341.737984176883
    13     6     0     -15341.737630700974
    14     6     0     -15341.734385062880
    15     6     0     -15341.730808942501
    16     6     0     -15341.727714055485
    17     6     0     -15341.728365904240
     0     7     0     -15341.729658581145
     1     7     0     -15341.728730128649
     2     7     0     -15341.732199580394
     3     7     0     -15341.738039552054
     4     7     0     -15341.742457320610
     5     7     0     -15341.742946445278
     6     7     0     -15341.739099843717
     7     7     0     -15341.733810902630
     8     7     0     -15341.729173130016
     9     7     0     -15341.729092720368
    10     7     0     -15341.733308444385
    11     7     0     -15341.739162157792
    12     7     0     -15341.742944268368
    13     7     0     -15341.742435415445
    14     7     0     -15341.738000095544
    15     7     0     -15341.732729658199
    16     7     0     -15341.728708223483
    17     7     0     -15341.729605518944
     0     8     0     -15341.733103134475
     1     8     0     -15341.731547187410
     2     8     0     -15341.735251881588
     3     8     0     -15341.741460023304
     4     8     0     -15341.746727331340
     5     8     0     -15341.746713725648
     6     8     0     -15341.742635827302
     7     8     0     -15341.736479523281
     8     8     0     -15341.732460673644
     9     8     0     -15341.731985290726
    10     8     0     -15341.736425644736
    11     8     0     -15341.742636099418
    12     8     0     -15341.746696854587
    13     8     0     -15341.746188954065
    14     8     0     -15341.741452540173
    15     8     0     -15341.735325352331
    16     8     0     -15341.731592902537
    17     8     0     -15341.732553736587
     0     9     0     -15341.735046571679
     1     9     0     -15341.733741649650
     2     9     0     -15341.736922388591
     3     9     0     -15341.742226976226
     4     9     0     -15341.746821346678
     5     9     0     -15341.746725970770
     6     9     0     -15341.743240056136
     7     9     0     -15341.737948257853
     8     9     0     -15341.734566154655
     9     9     0     -15341.734076893932
    10     9     0     -15341.737926488742
    11     9     0     -15341.743242233046
    12     9     0     -15341.747263667765
    13     9     0     -15341.746280384321
    14     9     0     -15341.742240581918
    15     9     0     -15341.736940892333
    16     9     0     -15341.734226148385
    17     9     0     -15341.734565610428
     0    10     0     -15341.734598944377
     1    10     0     -15341.734008049123
     2    10     0     -15341.736105094606
     3    10     0     -15341.739548695534
     4    10     0     -15341.742549567209
     5    10     0     -15341.742383305640
     6    10     0     -15341.740102583301
     7    10     0     -15341.736762657754
     8    10     0     -15341.734686565042
     9    10     0     -15341.734174854921
    10    10     0     -15341.736747963607
    11    10     0     -15341.740159591154
    12    10     0     -15341.742427796256
    13    10     0     -15341.742097177914
    14    10     0     -15341.739496585731
    15    10     0     -15341.736090672572
    16    10     0     -15341.734433907319
    17    10     0     -15341.734545882175
     0    11     0     -15341.733960973424
     1    11     0     -15341.733787364783
     2    11     0     -15341.734285197093
     3    11     0     -15341.735108613639
     4    11     0     -15341.735646718804
     5    11     0     -15341.735709849221
     6    11     0     -15341.735210248169
     7    11     0     -15341.734454587973
     8    11     0     -15341.733834168366
     9    11     0     -15341.733873624877
    10    11     0     -15341.734471459031
    11    11     0     -15341.735270249275
    12    11     0     -15341.735739509630
    13    11     0     -15341.735636650592
    14    11     0     -15341.735074463351
    15    11     0     -15341.734282748068
    16    11     0     -15341.733766956242
    17    11     0     -15341.733927367362
     0    12     0     -15341.734766702573
     1    12     0     -15341.735100314168
     2    12     0     -15341.733893353130
     3    12     0     -15341.731780661103
     4    12     0     -15341.730084575398
     5    12     0     -15341.729975321681
     6    12     0     -15341.731375211448
     7    12     0     -15341.733498243801
     8    12     0     -15341.734929290604
     9    12     0     -15341.734974597563
    10    12     0     -15341.733467767050
    11    12     0     -15341.731411402592
    12    12     0     -15341.729956137657
    13    12     0     -15341.730075051411
    14    12     0     -15341.731737939226
    15    12     0     -15341.733856209588
    16    12     0     -15341.735076776320
    17    12     0     -15341.734749287285
     0    13     0     -15341.738234929808
     1    13     0     -15341.738972766545
     2    13     0     -15341.736251083692
     3    13     0     -15341.731747055041
     4    13     0     -15341.728211071455
     5    13     0     -15341.727836914893
     6    13     0     -15341.730879964218
     7    13     0     -15341.735424946006
     8    13     0     -15341.738646093852
     9    13     0     -15341.738697659430
    10    13     0     -15341.735417598933
    11    13     0     -15341.730933978819
    12    13     0     -15341.727873922380
    13    13     0     -15341.728246038087
    14    13     0     -15341.731765966955
    15    13     0     -15341.736252580318
    16    13     0     -15341.738898887632
    17    13     0     -15341.738220643829
     0    14     0     -15341.742932159299
     1    14     0     -15341.743883333307
     2    14     0     -15341.740321226791
     3    14     0     -15341.734404791134
     4    14     0     -15341.729708241925
     5    14     0     -15341.729340752156
     6    14     0     -15341.733282865680
     7    14     0     -15341.739233451624
     8    14     0     -15341.743432304580
     9    14     0     -15341.743493122029
    10    14     0     -15341.739294677245
    11    14     0     -15341.733308036211
    12    14     0     -15341.729327826748
    13    14     0     -15341.729833550360
    14    14     0     -15341.734429961667
    15    14     0     -15341.740368438544
    16    14     0     -15341.743809046222
    17    14     0     -15341.743000731994
     0    15     0     -15341.746195756910
     1    15     0     -15341.747221081943
     2    15     0     -15341.743602239687
     3    15     0     -15341.737547978359
     4    15     0     -15341.732732923563
     5    15     0     -15341.732283935691
     6    15     0     -15341.736377208466
     7    15     0     -15341.742438544754
     8    15     0     -15341.746784475250
     9    15     0     -15341.746865020956
    10    15     0     -15341.742463171058
    11    15     0     -15341.736323057808
    12    15     0     -15341.732222165845
    13    15     0     -15341.732807618819
    14    15     0     -15341.737541583687
    15    15     0     -15341.743567681227
    16    15     0     -15341.747165978888
    17    15     0     -15341.746244057120
     0    16     0     -15341.745594657388
     1    16     0     -15341.746403787958
     2    16     0     -15341.743385909165
     3    16     0     -15341.738410987477
     4    16     0     -15341.734380164829
     5    16     0     -15341.733998389082
     6    16     0     -15341.737472738878
     7    16     0     -15341.742424122720
     8    16     0     -15341.746103918482
     9    16     0     -15341.746139837513
    10    16     0     -15341.742509974643
    11    16     0     -15341.737474371561
    12    16     0     -15341.733975939687
    13    16     0     -15341.734497854077
